source,target,relation
facility:北八至北九 S 弯长城,前山安检口/前山2通道,front_gate_to_north_route
前山安检口/前山3通道,facility:北门锁钥关城城楼,front_gate_to_north_route
facility:北门锁钥关城城楼,前山安检口/前山3通道,front_gate_to_north_route
前山安检口/前山3通道,facility:北四楼・好汉石打卡点,front_gate_to_north_route
facility:北四楼・好汉石打卡点,前山安检口/前山3通道,front_gate_to_north_route
前山安检口/前山3通道,facility:北索道入口平台,front_gate_to_north_route
facility:北索道入口平台,前山安检口/前山3通道,front_gate_to_north_route
前山安检口/前山3通道,facility:北八楼・好汉坡制高点,front_gate_to_north_route
facility:北八楼・好汉坡制高点,前山安检口/前山3通道,front_gate_to_north_route
前山安检口/前山3通道,facility:北八至北九 S 弯长城,front_gate_to_north_route
facility:北八至北九 S 弯长城,前山安检口/前山3通道,front_gate_to_north_route
外餐安检口/外餐1通道,facility:岔道城古炮展区,outside_gate_to_south_route
facility:岔道城古炮展区,外餐安检口/外餐1通道,outside_gate_to_south_route
外餐安检口/外餐1通道,facility:南索道入口平台,outside_gate_to_south_route
facility:南索道入口平台,外餐安检口/外餐1通道,outside_gate_to_south_route
外餐安检口/外餐1通道,facility:南四楼南线全景机位,outside_gate_to_south_route
facility:南四楼南线全景机位,外餐安检口/外餐1通道,outside_gate_to_south_route
外餐安检口/外餐2通道,facility:岔道城古炮展区,outside_gate_to_south_route
facility:岔道城古炮展区,外餐安检口/外餐2通道,outside_gate_to_south_route
外餐安检口/外餐2通道,facility:南索道入口平台,outside_gate_to_south_route
facility:南索道入口平台,外餐安检口/外餐2通道,outside_gate_to_south_route
外餐安检口/外餐2通道,facility:南四楼南线全景机位,outside_gate_to_south_route
facility:南四楼南线全景机位,外餐安检口/外餐2通道,outside_gate_to_south_route
外餐安检口/外餐3通道,facility:岔道城古炮展区,outside_gate_to_south_route
facility:岔道城古炮展区,外餐安检口/外餐3通道,outside_gate_to_south_route
外餐安检口/外餐3通道,facility:南索道入口平台,outside_gate_to_south_route
facility:南索道入口平台,外餐安检口/外餐3通道,outside_gate_to_south_route
外餐安检口/外餐3通道,facility:南四楼南线全景机位,outside_gate_to_south_route
facility:南四楼南线全景机位,外餐安检口/外餐3通道,outside_gate_to_south_route
外餐安检口/外餐4通道,facility:岔道城古炮展区,outside_gate_to_south_route
facility:岔道城古炮展区,外餐安检口/外餐4通道,outside_gate_to_south_route
外餐安检口/外餐4通道,facility:南索道入口平台,outside_gate_to_south_route
facility:南索道入口平台,外餐安检口/外餐4通道,outside_gate_to_south_route
外餐安检口/外餐4通道,facility:南四楼南线全景机位,outside_gate_to_south_route
facility:南四楼南线全景机位,外餐安检口/外餐4通道,outside_gate_to_south_route
外餐安检口/外餐5通道,facility:岔道城古炮展区,outside_gate_to_south_route
facility:岔道城古炮展区,外餐安检口/外餐5通道,outside_gate_to_south_route
外餐安检口/外餐5通道,facility:南索道入口平台,outside_gate_to_south_route
facility:南索道入口平台,外餐安检口/外餐5通道,outside_gate_to_south_route
外餐安检口/外餐5通道,facility:南四楼南线全景机位,outside_gate_to_south_route
facility:南四楼南线全景机位,外餐安检口/外餐5通道,outside_gate_to_south_route
外餐安检口/外餐6通道,facility:岔道城古炮展区,outside_gate_to_south_route
facility:岔道城古炮展区,外餐安检口/外餐6通道,outside_gate_to_south_route
外餐安检口/外餐6通道,facility:南索道入口平台,outside_gate_to_south_route
facility:南索道入口平台,外餐安检口/外餐6通道,outside_gate_to_south_route
外餐安检口/外餐6通道,facility:南四楼南线全景机位,outside_gate_to_south_route
facility:南四楼南线全景机位,外餐安检口/外餐6通道,outside_gate_to_south_route
map:official,facility:北八楼・好汉坡制高点,context_to_facility
facility:北八楼・好汉坡制高点,map:official,context_to_facility
map:official,facility:北索道入口平台,context_to_facility
facility:北索道入口平台,map:official,context_to_facility
map:official,facility:北四楼・好汉石打卡点,context_to_facility
facility:北四楼・好汉石打卡点,map:official,context_to_facility
map:official,facility:北门锁钥关城城楼,context_to_facility
facility:北门锁钥关城城楼,map:official,context_to_facility
map:official,facility:北八至北九 S 弯长城,context_to_facility
facility:北八至北九 S 弯长城,map:official,context_to_facility
map:official,facility:南索道入口平台,context_to_facility
facility:南索道入口平台,map:official,context_to_facility
map:official,facility:南四楼南线全景机位,context_to_facility
facility:南四楼南线全景机位,map:official,context_to_facility
map:official,facility:岔道城古炮展区,context_to_facility
facility:岔道城古炮展区,map:official,context_to_facility
map:official,ropeway:北线索道（北八楼空中索道）,context_to_ropeway
ropeway:北线索道（北八楼空中索道）,map:official,context_to_ropeway
map:official,ropeway:南线索道（南四楼地面缆车）,context_to_ropeway
ropeway:南线索道（南四楼地面缆车）,map:official,context_to_ropeway
map:user,facility:北八楼・好汉坡制高点,context_to_facility
facility:北八楼・好汉坡制高点,map:user,context_to_facility
map:user,facility:北索道入口平台,context_to_facility
facility:北索道入口平台,map:user,context_to_facility
map:user,facility:北四楼・好汉石打卡点,context_to_facility
facility:北四楼・好汉石打卡点,map:user,context_to_facility
map:user,facility:北门锁钥关城城楼,context_to_facility
facility:北门锁钥关城城楼,map:user,context_to_facility
map:user,facility:北八至北九 S 弯长城,context_to_facility
facility:北八至北九 S 弯长城,map:user,context_to_facility
map:user,facility:南索道入口平台,context_to_facility
facility:南索道入口平台,map:user,context_to_facility
map:user,facility:南四楼南线全景机位,context_to_facility
facility:南四楼南线全景机位,map:user,context_to_facility
map:user,facility:岔道城古炮展区,context_to_facility
facility:岔道城古炮展区,map:user,context_to_facility
map:user,ropeway:北线索道（北八楼空中索道）,context_to_ropeway
ropeway:北线索道（北八楼空中索道）,map:user,context_to_ropeway
map:user,ropeway:南线索道（南四楼地面缆车）,context_to_ropeway
